Unnamed: 0,Document,Summary,Dataset
0,"Theo V đó , các sở N , ngành N trên địa bàn N phải V vào V cuộc N ngay để hướng V tới V thay đổi V thói quen N của người dân N khi N dùng V chó N , mèo N làm V thực phẩm N . Trong V thực tế N , theo V ghi nhận N của Tuổi Trẻ tại phố N Tam Trinh , ngay đoạn N đầu N cầu N Mai Động ( quận N Hoàng Mai ) , một đoạn N phố N dài A với gần A chục cửa hàng N buôn bán V thịt N chó N sống V , nhà hàng N phục vụ V các món N chế biến V từ thịt N chó N vẫn hoạt động V tấp nập A nhiều A năm N nay . , một chủ N sạp N bán V thịt N chó N sống V ở đây , cho V hay V trong 10 ngày N đầu N mỗi tháng N âm lịch , các cửa hàng N vắng vẻ A hơn A vì thói quen N "" kiêng N "" ăn V thịt N chó N vào đầu N tháng N tránh V xui xẻo A . , trung bình A mỗi tháng N chị bán V được khoảng N 3 tạ thịt N chó N sống V . Nhiều V nguy cơ N lây lan V dịch V bệnhTheo N chuyên gia truyền thông N Phan Kiền , chó N không phải A là loài N động vật N nằm V trong danh mục N cấm V săn bắt N , mua bán V và giết mổ V , thịt N chó N thương phẩm N cũng không phải A là mặt hàng N thực phẩm N cấm V lưu hành N nên rất khó A dùng V luật N để cấm V . Do đó , việc N Hà Nội khuyến khích V người N dân N hạn chế V , tiến V tới không ăn V thịt N chó N là V cách N làm V vừa văn minh V vừađúng N luật N . Trước đây N các hàng quán N "" lòng N lợn N , tiết canh N "" mọc V khắp A nơi N bởi đây là V món N khoái khẩu N của dân N nhậu V . Trong khi N đó , không chỉ những bạn N trẻ A nuôi V chó N cảnh N làm V thú N cưng V phản đối V việc N xem V chó N là V một loại N thực phẩm N , mà ngay cả những người từng xem V thịt N chó N là V món N "" khoái khẩu N "" cũng ủng hộ V việc N bỏ V ăn V thịt N chó N . Dù V từng ăn V thịt N chó N , anh Nguyễn Văn Thuận , một nhân viên N văn phòng N ở quận N Thanh Xuân , cũng ủng hộ V chủ trương N của Hà Nội . Theo V anh Thuận , một khi thịt N chó N còn thịnh hành V và có V giá trị N thương phẩm N cao A , nạn N trộm V chó N vẫn tồn tại V và khó A tránh V khỏi V cảnh N người N trộm V chó N bị V đánh V "" thừa N sống V thiếu A chết V "" như đã từng xảy V ra V . Do đó , muốn V hạn chế V nạn N trộm V chó N và ngăn ngừa V nguy cơ N lây lan V dịch bệnh N , cần V khuyến khích V không nên V ăn V thịt N chó N . "" Thịt N chó N cũng ngon A và lạ miệng V nhưng nếu cấm V ăn V thịt N chó N , mình thấy V cũng không vấn đề N gì vì còn V rất nhiều A loại N thực phẩm N khác A thay thế V "" - anh Thuận nói V . ","Các quận , huyện , thị xã tuyên truyền bằng nhiều hình thức để người dân từ bỏ thói quen ăn thịt chó , mèo nhằm tránh nguy cơ mắc bệnh truyền nhiễm ( bệnh dại , xoắn khuẩn , tả ... ) cũng như không gây ảnh hưởng tới hình ảnh thủ đô văn minh , hiện đại .",vietnews
1,"Chiều N 12/3 , ông Vũ Hùng Triều , Trưởng phòng N Tổ chức N hành chính V Bệnh viện N Đa khoa N huyện N Đông Hòa ( Phú Yên ) cho V biết V , bé N trai N sơ sinh N bị V bỏ rơi V được V người N dân N đưa V đến cấp cứu V sức khỏe N đã dần ổn định A . "" Bệnh viện N sẽ tiếp tục V theo dõi V , điều trị V chống V nhiễm trùng N cho bé N và chờ V chính quyền N làm V thủ tục N xác định V sự việc N để làm V giấy N chứng sinh V cho người N bảo hộ V "" , ông này nói V . Bé N trai N mới sinh V nặng 2,7 kg bị V bỏ V rơi V hiện N được V chăm sóc V ở bệnh viện N . Trước N đó rạng A sáng N 11/3 , Bệnh viện N Đông Hòa tiếp nhận V cháu bé N từ tay N chị Nguyễn Thị Tâm ( 32 tuổi N , xã N Hòa Hiệp Nam , huyện N Đông Hòa ) . Theo V chị Tâm , 5 V h N sáng N , sau N khi N ngủ V dậy V chị mở V cửa N ra V sân N thì phát hiện V chiếc thùng N carton N đặt V gần A mép N sân N , bên N trong N có V bé N trai N sơ sinh A chưa cắt rốn V , cơ thể N tím A tái , thở V yếu A , trên người N có V nhiều A vết N kiến V đốt V . Chị Tâm đã hô hoán V nhờ V nhiều A người đến V trợ giúp V , sau N đó gọi V y tá N đến cắt rốn N và chở V đến bệnh viện N cấp cứu V . Nhiều V người N đến V Bệnh viện N Đông Hòa chăm V bé N trai N khi N chị Tâm không có mặt V . Cũng theo V người N phụ nữ N này , 2 ngày N qua , hơn A 20 cặp vợ chồng N tìm V đến nhà N chị ngỏ V ý N xin V cháu bé A về nuôi V , nhưng chị không đồng ý V . “ Vợ chồng N tôi đã có V 2 cháu nhưng tôi vẫn muốn V nhận V bé N làm V con nuôi N vì thấy V thương V quá ” , chị Tâm nói V . Trong sáng N 12/3 , đại diện N Phòng Lao động Thương binh và Xã hội V huyện N Đông Hòa đã đến V thăm V và bước đầu N hỗ trợ V 300.000 đồng để chị Tâm mua V sữa N cho bé N . Lê Huỳnh ","Cháu bé được phát hiện trong tình trạng chưa cắt rốn , thở yếu , trên người có nhiều vết kiến đốt .",vietnews
2,"Thoạt đầu N nhìn V vào bức ảnh N , nếu không có V dấu N khoanh tròn N , rất khó A nhận V ra V chú báo tuyết N . Bộ lông N của báo tuyết N giúp V chúng ẩn thân V trong môi trường N sống V đặc thù A , hình thức N ngụy trang V này khiến V chúng rất khó A bị V phát hiện V khi N săn V mồi N . Matthias Fiechter N , thành viên N tổ chức V Snow Leopard Trust cho V biết V bộ lông N của loài N báo tuyết N chính là V vũ khí N hiệu quả N giúp V chúng khi N săn V mồi N . "" Nhờ V có V bộ lông N và màu sắc N độc đáo A , báo tuyết N có thể ẩn mình V hoàn hảo A với môi trường N xung quanh N , sau N đó tấn công V con mồi N một cách N chớp nhoáng A "" . Báo tuyết N khá nhút nhát A và thích V cuộc sống N đơn độc A , thường hoạt động V tích cực A nhất vào lúc N bình minh N và hoàng hôn N để tuần tra V lãnh thổ V và săn V mồi N . Báo tuyết V ưa thích N sinh sống V tại những nơi N có V địa hình N hiểm trở A , lạnh lẽo A và cằn cỗi V trên các dãy núi N đá N cao A trên N 1.000 m so V với mực N nước biển N . Trên dãy N Himalaya , loài N này thường được V tìm V thấy V tại độ N cao A từ 3.000 - 5.400 m so V với mực N nước biển N . Phạm vi sinh sống N của loài N này trải V dài A trên N lãnh thổ N 12 quốc gia N với gần A hai triệu km2 N , chủ yếu A tại các dãy núi N đá N của khu vực N Trung Á.Báo tuyết V có V bộ lông N dài A và dày A nhất A trong nhóm N mèo N lớn A , cùng A một cái đuôi N dài A và dày A không chỉ giúp V giữ V thăng bằng N khi N di chuyển V trên vách N núi N mà còn có thể quấn V quanh N mình để giữ V ấm A . Con N mồi N chủ yếu A của báo tuyết N là V các loài N động vật N cỡ N nhỏ A và vừa tại từng khu vực N sống V trong đó bao gồm V cừu N hoang A Himalaya , sơn dương N Siberia , cừu N Argali , dê N , ngựa N , lạc đà N và một số loài gia súc N nhỏ A khác A . ","Báo tuyết ( Panthera uncia ) được mệnh danh là ' bóng ma của núi ' , nổi tiếng nhờ bộ lông tuyệt đẹp và là loài ít được biết đến nhất trong nhóm mèo lớn .",vietnews
3,"Khoảng N 9 h30 N sáng N 5/6 , anh Đào Nhật Tuấn ( 30 tuổi N ) lên V khu vực N hố N Thung , thôn N Đại La , xã N Hòa Sơn , huyện N Hòa Vang ( Đà Nẵng ) để giăng V lưới N bẫy V chim N trời N . Lực lượng N cứu V nạn N tìm V thấy V thi thể V nạn nhân N vào chiều N cùng A ngày N . Thấy V con chim N mắc bẫy N rơi V xuống V hố N nước N , anh Tuấn bơi V ra V bắt V . Do N hố N nước N quá sâu A nên khi N gỡ V chim N ra V khỏi V lưới N anh bị V chết đuối V . Một người phụ nữ N phát hiện V vụ việc N đã truy hô V người N dân N đến ứng cứu A nhưng không kịp A . Thi thể V nạn nhân N được V lực lượng N cứu V nạn N tìm V thấy V chiều N cùng A ngày N , một tay N vẫn đang cầm V chặt A con chim N bị V mắc bẫy V . Anh Tuấn là V con trai N một trong gia đình N , vợ N đang mang V thai N . Thi thể V nạn nhân N đã được V nhà chức trách V bàn giao V cho gia đình N lo V hậu sự V . Ngọc N Trường N ","Thấy con chim bị mắc bẫy rơi xuống hồ nước , anh Tuấn bơi ra bắt nhưng bị đuối nước .",vietnews
4,"Liên minh Tự do N Dân sự N Mỹ ( ACLU ) đã nhận V được 90 trang N tài liệu N về chương trình N tra tấn V CIA , trong đó có V nhắc V tới loại N “ huyết thanh N nói V thật A ” . Ngay V sau N vụ N tấn công V khủng bố V ngày N 11/9/2001 , Cơ quan N Tình báo V Trung ương N Mỹ ( CIA ) đã cân nhắc V sử dụng V một loại N thuốc N an thần N dùng V để điều trị V chứng N lo âu V để làm V “ huyết thanh N nói V thật ” . Loại thuốc N này “ gây V ra V triệu chứng N không mong muốn V như mất trí nhớ N ở cấp độ N nhẹ A ” , các tài liệu N cho V biết V . Chương trình N nghiên cứu V thuốc N nói V trên N của CIA - được V gọi là “ Dự án N trị liệu N ” - chỉ là V một trong nhiều A thông tin N được V cung cấp V từ một tài liệu N không được V niêm phong V để đáp V lại V vụ N kiện V của ACLU. Báo cáo V tập trung V vào các bác sĩ N CIA , bao gồm V các nhà N tâm lý học N , trợ lý V bác sĩ N và y tá N trực tiếp A tham gia V vào chương trình N thẩm vấn V nâng V cao A từ 2002 đến 2007 N , giám sát V 97 tù nhân N trong 10 cơ sở N tra tấn V bí mật A . Lý do N CIA không bao giờ yêu cầu V bộ Tư pháp V phê chuẩn N sử dụng V loại N thuốc N này như một "" sự N tăng cường V "" cho các cuộc N thẩm vấn V là bởi họ "" không muốn V nêu V thêm V một vấn đề N khác A "" , vì đã chấp thuận V các biện pháp N như không cho V ngủ V , giam giữ V trong lồng N nhỏ A và trấn V nước N . CIA N không bình luận V về các tài liệu N , nhưng "" các luật sư N chính phủ N "" trích dẫn N bởi AP đã làm V giảm V tầm N quan trọng A của các tài liệu N , lập luận V rằng tài liệu N chỉ là V trình bày V của một viên chức N tham gia V chương trình N , chứ không phải V đánh giá V cuối cùng A của CIA. ACLU và CIA đã chiến đấu V xoay V quanh N tài liệu N trên trong hai năm N . Một trong những biện pháp N tra tấn V khác A của CIA có V trong tài liệu N được V gọi là "" ném V tường N "" . "" Các bác sĩ N của CIA đã mô tả V một tù nhân N khác A - người N đã khóc lóc V , cầu xin V , nôn mửa N , và yêu cầu V hồi sức V y tế N sau N khi N bị V trấn V nước N – là có V khả năng N kháng V nước N tuyệt vời A ” , báo cáo V của ACLU lưu ý V . Tuy nhiên , CIA gọi V chương trình N thẩm vấn V nâng V cao A của mình là V “ không gây V ra V tổn thương N lâu dài A về thể chất N cũng như tinh thần N ” . . ","Loại "" huyết thanh nói thật "" mà CIA sử dụng đến từ một loại thuốc an thần , có thể gây ra triệu chứng không mong muốn như mất trí nhớ .",vietnews
5,"Eman Ahmed Abd El Aty , 36 tuổi N , sẽ tiếp tục V điều trị V giảm V cân V tại Các Tiểu vương quốc N Arab thống nhất V sau N khi N rời V bệnh viện N Saifee tại thành phố N Mumbai , Ấn Độ , AFP đưa V tin N . Trước N khi N phẫu thuật V , Aty nặng A khoảng A 500 kg . Gia đình N cho V hay V cô đã không thể rời V khỏi nhà N suốt A 25 năm N cho đến khi N được V hỗ trợ V di chuyển V bằng cần cẩu N để lên V một chiếc máy bay N thuê V riêng A đến Ấn Độ hồi N tháng N hai . Hiện N cân N nặng A của Aty là V 176,6 kg . Cô N sẽ tiếp tục V điều trị V thêm V một năm N nữa ở bệnh viện N VPS Burjeel tại thủ đô N Abu Dhabi . "" Chúng tôi đã dùng V một cáng N thủy lực N mang V từ Italy sang V để hỗ trợ V Eman trong suốt A quá trình N di chuyển V . Đội ngũ V bác sĩ N , hộ lý N và y tá N cũng sẽ túc trực V bên N cô ấy "" , Sanet Meyer , giám đốc N bệnh viện N VPS Burjeel , cho V biết V . Ở Ấn Độ , trước khi N tiến hành V phẫu thuật V thu nhỏ N dạ dày N , các bác sĩ N đã phải V áp dụng V chế độ N ăn kiêng V bằng chất lỏng N để Aty giảm V bớt V cân N nặng A . Lúc N chào đời V , cô nặng A 5 kg và bị V chẩn đoán V mắc V chứng N phù voi N . Lên N 11 tuổi N , Aty tăng V cân N nhanh chóng A và bị V đột quỵ V khiến V cô nằm V liệt giường A . Tuy nhiên , hồi N cuối N năm ngoái N , bác sĩ N Lakdawala cho V rằng Aty không phải V mắc V chứng N phù voi N mà bị V bệnh N phù nề V bạch huyết N liên quan V tới béo A phì A khiến V cơ thể N bị V phình V to A . An Hồng ","Mặc dù đã giảm được hơn 300 kg sau ca phẫu thuật đầu tiên , một phụ nữ Ai Cập , được cho là người nặng nhất thế giới , sẽ tiếp tục điều trị thêm một năm nữa .",vietnews
6,"Những ngày N qua V , muỗi N cỏ N xuất hiện V dày đặc A tại TP Bạc Liêu gây V đảo lộn V đời sống N của người dân N . "" Muỗi chích V ngứa N và đau V . Chúng tôi lo sợ V con cháu N mình bị V nhiễm bệnh V khi N bị V muỗi V tấn công V "" , bà Nguyễn Thị Kể lo lắng V . Người dân N TP Bạc Liêu ung V khói N đuổi V muỗi V ngay cả ban ngày N . Để tránh V muỗi V vào nhà N , người N dân N thành phố N đã áp dụng V nhiều A cách N như đóng V kín A các cửa N từ rất sớm A vào mỗi buổi N chiều N , dùng V nhang N trừ V muỗi N , ung V khói N từ các loại N lá N cây N vườn N , vỏ N cam N , bưởi N … song vẫn không mấy hiệu quả N . "" Cách V xua V muỗi N theo V dân gian N là ung V khói N nhưng việc N này khiến V trẻ em N rất ngột ngạt A và khó chịu A , đó là V chưa nói V đến việc N khói N bụi N bay V đầy A nhà N khi N đốt V lửa N "" , chị Theo V chị Huỳnh Thị Hồng Văn nói V . Trung tâm N y tế N dự phòng V tỉnh N Bạc Liêu cho V biết V , việc N muỗi V cỏ N xuất hiện V dày đặc A là do sau N mùa N thu hoạch V lúa N , muỗi N không còn V nơi N trú ngụ V . "" Muỗi cỏ N rất thích V ánh sáng N đèn N nên khi N không còn V nơi N ở V chúng bay N vào V nhà N dân N "" , bác sĩ N nói V và cho V biết V ngành N y tế N đang lên V kế hoạch N phun V thuốc N diệt V muỗi N trên toàn tỉnh N Bạc Liêu . Phúc N Hưng ","Để tránh muỗi bay dày đặc vào nhà , người dân TP Bạc Liêu phải đốt nhang , ung khói từ vỏ cam , bưởi ... nhưng vẫn không hiệu quả .",vietnews
7,"Chiều N 15/6 , anh Hoàng Khắc Sửu ( trú V ở Cửa Lò , Nghệ An ) - người N bị V kết luận V nhầm V nhiễm V HIV cho V biết V , Sở N Y tế N Nghệ An vừa có V buổi N đối thoại V để tìm V hướng N giải quyết V đơn N khiếu nại V của anh . Trong V đơn N , anh Sửu yêu cầu V làm V rõ A trách nhiệm N cá nhân N , tập thể N gây V ra V việc N nhầm lẫn V khiến V anh mang tiếng V hơn A 10 năm N qua V . Hai N bên N cũng thảo luận V việc N bồi thường V tinh thần N và vật chất N . Anh N Hoàng Khắc Sửu tâm sự V sau N buổi N đối thoại V ngày N 15/6 . Anh N Sửu cho V biết V , buổi N đối thoại V đi V đến thống nhất V việc N "" tìm V ra V cá nhân N , tập thể N đã trực tiếp A gây V nhầm lẫn V khiến V tôi mang tiếng V nhiễm V HIV hơn A 10 năm N qua V . Tôi mong V sớm A được V trả V lại V danh dự N "" . Chủ trì V buổi N đối thoại N , Chánh thanh tra V Sở N Y tế N Hồ Sơn , cho V hay V : "" Tất cả ý kiến N , yêu cầu V của anh Sửu đều được V chúng tôi ghi V lại V cẩn thận A . Sở V có V trách nhiệm N xác minh V trong thời gian N tới "" . Trước N đó , ngày N 6/5/2015 Tổng cục N Thi hành V án N hình sự N và hỗ trợ V tư pháp N , Bộ N Công an N nhận V được đơn N khiếu nại V sự việc N Trung tâm N phòng chống V HIV / AIDS tỉnh N Nghệ An thông báo V anh Sửu bị V nhiễm V HIV về địa phương N . Thông tin V không chính xác A này khiến V danh dự N , cuộc sống N của anh bị V tổn thương V hơn A 10 năm N qua V . Thanh tra N Tổng cục N cảnh sát N Thi hành V án N hình sự N và hỗ trợ V tư pháp N đã chuyển V đơn N tới V Sở N Y tế N Nghệ An để xem xét V giải quyết V . Về V trách nhiệm N liên quan V , Sở N cho V rằng năm N 2003 việc N lấy V mẫu N máu N xét nghiệm V cho các phạm nhân N trong trại giam N thuộc V chương trình N giám sát V trọng điểm N do Ban N AIDS quản lý V . Năm N 2007 V , các số liệu N của bệnh nhân N nhiễm V HIV / AIDS được chuyển giao V cho Trung tâm N phòng chống V HIV / AIDS . Sự việc N đã xảy V ra V hơn A 10 năm N , số N cán bộ N tham gia V trực tiếp A lấy V mẫu N máu N xét nghiệm V và cán bộ N y tế N trực tiếp A chăm sóc V cho các phạm nhân N tại trại giam N số N 3 từ đó đến nay đã nghỉ V hưu V . Hải N Bình ",Sở Y tế Nghệ An cho biết đang xác minh người trực tiếp xét nghiệm máu gây ra nhầm lẫn việc anh Hoàng Khắc Sửu nhiễm HIV 13 năm qua .,vietnews
8,"Ngày N 10/11 , chị Mã Thị Nhình ( xã N Cốc Pàng , Bảo Lạc , Cao Bằng ) đi V chợ N Trung Quốc mua V trứng N gà N . Chiều tối N cùng A ngày N , chị luộc V 9 quả N để 3 mẹ N con N ăn V , mỗi người N ăn V 3 quả N rồi đi V ngủ V . Khoảng N 5 tiếng sau N , mẹ con N chị Nhình có V biểu hiện N đau V bụng N , chóng mặt V , nôn V nhiều A lần N . Nửa đêm N , anh Thường , chồng N chị Nhình phát hiện V liền đưa V vợ N và 2 con N đến Bệnh viện N Đa khoa N huyện N Bảo Lạc ( cách V nhà N hơn A 30 km ) cấp cứu V . Sáng N 11/11 , chị Nhình tử vong V , bé N Nga ( 6 tuổi N ) và Nhất ( 8 tuổi N ) được V chuyển V lên V bệnh viện N tỉnh N . Sức khỏe N của 2 trẻ N trong vụ N ngộ V đã bình phục V và có thể xuất viện V . Trao đổi V với VnExpress , ông Nguyễn Văn Lê , Giám đốc N Sở N Y tế N Cao Bằng cho V biết V , đến nay sức khỏe V của hai trẻ N đã phục hồi V tích cực A . Cơ quan N công an N đã xuống V khám nghiệm V hiện trường N , điều tra V nguyên nhân N gây V ngộ độc V . "" Chúng tôi đã lấy V mẫu N thực phẩm N nghi ngờ V , chất N nôn N của bệnh nhân N gửi V đi V xét nghiệm V . Ngoài ra , mẫu N nước N của gia đình N cũng được V xét nghiệm V vì ngoài 3 người N ngộ độc V thì 3 con vật N trong nhà N cũng chết V "" , ông Lê nói V . Cục N An toàn A thực phẩm N ( Bộ N Y tế N ) đã có V công văn N yêu cầu V Sở N Y tế N tỉnh N điều tra V xác định V rõ A căn nguyên N vụ N ngộ độc V theo V quy định N ; công khai A kết luận V điều tra V để kịp thời V cảnh báo V cho cộng đồng N . Các V đơn vị N y tế N trên địa bàn N phải V chuẩn bị V sẵn sàng A phương tiện N , vật tư N , hóa chất N để kịp thời A khắc phục V , giảm thiểu N ảnh hưởng V khi N có V ngộ độc N thực phẩm N xảy V ra V . Trước N đó ngày N 7/7 , Lào Cai xảy V ra V vụ N ngộ độc V rượu N tại gia đình N ông Lù Lèng Séng 45 tuổi N ( thị trấn N Mường Khương , huyện N Mường Khương ) làm V 4 người N mắc V , một người N tử vong V . Trung tâm N Y tế N huyện N Mường Khương cho V biết V , sau N khi N uống V rượu N cả 4 người N có V biểu hiện N hoa mắt N , chóng mặt V , hai mắt N díp V lại không mở V được . Điều tra V xác minh V bước đầu N cho V thấy V , bệnh nhân N ngộ độc V và tử vong V do uống V rượu N ngâm V rễ N cây N và căn nguyên V là V độc tố N tự nhiên A có V trong rễ N cây N . Phương Trang ","Vài tiếng sau khi ăn trứng gà luộc , ba mẹ con chị Nhình có biểu hiện đau bụng , chóng mặt , nôn nhiều lần . Ngành y tế đã lấy mẫu gửi kiểm nghiệm , cơ quan công an cũng vào cuộc điều tra vì 2 con bò và một con mèo trong nhà cũng chết .",vietnews
9,"15 h N ngày N 19/2 , trong lúc N học V kèm V tại nhà N cô giáo N , nhiều A học sinh N lớp N 2 trường N Tiểu học N Long Bình Tân ( TP Biên Hòa ) có V biểu hiện N đau V bụng N , nôn N ói V .. N , liền được V giáo viên N đưa V đến bệnh viện N . Học sinh N bị V ngộ độc V đang được V điều trị V tại bệnh viện N . Bác sĩ N Trần Thị Mai - Phó giám đốc N Bệnh viện N ShingMark ( Đồng Nai ) cho V biết V , có V 21 học sinh N nhập viện V trong tình trạng N lờ đờ A , trong đó một số em N phải V thở V máy N . Đến N cuối N giờ N chiều N các học sinh N đã ổn định V . Ông N Võ Văn Minh , Trưởng phòng N Giáo dục N Biên Hòa cho V biết V , đơn vị N đã cử V đoàn N xuống V bệnh viện N thăm hỏi V các học sinh N . "" Sự việc N xảy V ra V khi N các em N ăn V cơm N trưa N tại nhà N cô giáo N . Chúng tôi đã phối hợp V cơ quan chức năng N giữ V lại V các mẫu thức ăn N để làm V rõ A nguyên nhân N "" , thầy N Minh nói V . Theo V ông Minh , việc N đảm bảo V an toàn A thực phẩm N tại trường N cũng như ở nhà giáo viên N đã được V phòng N giáo dục V nhắc nhở V từ đầu N năm học N . Sau N vụ N này , đơn vị N sẽ tăng cường V kiểm tra V , có V biện pháp N để đảm bảo V an toàn A thực phẩm N cho học sinh N . Phước Tuấn ","Nhiều học sinh lớp 2 có triệu chứng khó thở , nôn ói , lờ đờ ... sau khi ăn cơm tại nhà cô giáo .",vietnews
